Word,Appearance Frequency,Meaning,Category,Learning Point,Add Date,Importance,Done
causality,24,因果関係,認知科学,3,2024-10-01,1,0.0
high,21,高い,強化学習,3,2024-10-01,1,0.0
prioritize,51,優先順位をつける,強化学習,4,2024-10-01,1,1.0
dqn,35,dqn,強化学習,3,2024-10-01,1,2.0
see,33,見る,認知科学,2,2024-10-01,1,0.0
variant,26,変異体,強化学習,3,2024-10-01,1,0.0
policy,117,方針,強化学習,5,2024-10-01,1,0.0
learn,112,学習,強化学習,5,2024-10-06,1,0.0
use,52,使用,強化学習,5,2024-10-06,1,0.0
entropy,51,エントロピー,強化学習,5,2024-10-02,1,0.0
soft,49,柔らかい,強化学習,5,2024-10-02,1,0.0
method,45,方法,その他,4,2024-10-06,1,0.0
energy,40,エネルギー,強化学習,4,2024-10-02,1,0.0
function,37,関数,強化学習,4,2024-10-05,1,0.0
deep,33,深層,強化学習,4,2024-10-02,1,0.0
maximum,31,最大値,強化学習,4,2024-10-02,1,0.0
action,28,行動,強化学習,4,2024-10-05,1,0.0
reinforcement,26,強化,強化学習,4,2024-10-02,1,0.0
network,25,ネットワーク,強化学習,4,2024-10-02,1,0.0
optimal,24,最適な,強化学習,4,2024-10-02,1,0.0
gradient,24,勾配,強化学習,4,2024-10-02,1,1.0
value,23,価値,強化学習,3,2024-10-06,1,0.0
state,22,状態,データ分析,3,2024-10-02,1,2.0
show,22,表示,強化学習,3,2024-10-06,1,0.0
work,21,作業,強化学習,3,2024-10-06,1,0.0
reward,20,報酬,強化学習,3,2024-10-03,1,0.0
train,20,訓練,強化学習,3,2024-10-03,1,0.0
approximate,19,近似,強化学習,3,2024-10-03,1,0.0
inference,19,推論,認知科学,3,2024-10-03,1,0.0
update,19,更新,強化学習,3,2024-10-05,1,0.0
objective,18,目的,強化学習,3,2024-10-03,1,0.0
ddpg,16,DDPGの日本語訳は「深層決定的ポリシー勾配法」です。,強化学習,3,2024-10-03,1,0.0
policy entropy,16,ポリシーエントロピー,強化学習,3,2024-10-05,1,0.0
critic,15,批評家,強化学習,3,2024-10-04,1,1.0
goal,15,目標,強化学習,3,2024-10-04,1,1.0
prior,13,優先,強化学習,3,2024-10-04,1,0.0
machine,13,強化学習,強化学習,3,2024-10-04,1,0.0
explore,12,探査,強化学習,3,2024-10-04,1,0.0
pretraine,12,プレトレーニング,強化学習,3,2024-10-04,1,0.0
problem,12,問題,認知科学,3,2024-10-04,1,0.0
represent,12,表現する,強化学習,3,2024-10-04,1,0.0
multi,12,マルチ,強化学習,3,2024-10-06,1,0.0
depression,57,抑うつ,データ分析,5,2024-10-04,1,0.0
group,52,グループ,強化学習,5,2024-10-06,1,0.0
symptom,34,症状,データ分析,5,2024-10-04,1,0.0
feature,31,特徴,データ分析,5,2024-10-05,1,1.0
subject,28,データ分析,データ分析,4,2024-10-05,1,1.0
score,26,スコア,データ分析,4,2024-10-04,1,2.0
result,20,結果,強化学習,4,2024-10-06,1,0.0
mean,18,平均,強化学習,4,2024-10-06,1,0.0
mfcc,18,メル周波数ケプストラム係数,データ分析,4,2024-10-04,1,0.0
crossref,18,クロスリファレンス,データ分析,4,2024-10-04,1,0.0
severity,16,重大度,データ分析,3,2024-10-04,1,0.0
acoustic,16,音響,データ分析,3,2024-10-04,1,0.0
difference,16,差異,データ分析,3,2024-10-04,1,0.0
health,15,健康,データ分析,3,2024-10-06,1,0.0
patient,15,患者,データ分析,3,2024-10-04,1,0.0
read,40,読む,その他,5,2024-10-04,1,0.0
paper,31,紙,その他,5,2024-10-04,1,1.0
article,29,記事,その他,5,2024-10-04,1,1.0
understand,24,理解する,その他,5,2024-10-05,1,2.0
author,23,著者,その他,4,2024-10-04,1,0.0
research,21,研究,強化学習,4,2024-10-06,1,0.0
present,20,現在,強化学習,4,2024-10-06,1,0.0
section,16,セクション,その他,4,2024-10-04,1,0.0
scientific,15,科学的,その他,4,2024-10-05,1,0.0
interpretation,14,解釈,その他,4,2024-10-04,1,0.0
field,14,分野,その他,4,2024-10-04,1,0.0
rule,13,ルール,その他,3,2024-10-04,1,0.0
new,13,新しい,その他,3,2024-10-05,1,0.0
social,101,社会的,強化学習,5,2024-10-06,1,0.0
information,58,情報,強化学習,5,2024-10-06,1,0.0
model,57,モデル,強化学習,5,2024-10-06,1,0.0
participant,40,参加者,強化学習,5,2024-10-06,1,0.0
individual,23,個体,強化学習,5,2024-10-06,1,0.0
choice,22,選択肢,強化学習,4,2024-10-06,1,0.0
previous,22,前の,強化学習,4,2024-10-06,1,0.0
human,20,人間,強化学習,4,2024-10-06,1,0.0
correlate,16,相関する,強化学習,4,2024-10-06,1,0.0
search,16,探索,強化学習,4,2024-10-06,1,0.0
evolutionary,15,進化的な,強化学習,4,2024-10-06,1,0.0
population,14,人口,強化学習,4,2024-10-06,1,0.0
integrate,13,統合する,強化学習,4,2024-10-06,1,0.0
different,13,異なる,強化学習,4,2024-10-06,1,0.0
bandit,13,バンディット,強化学習,4,2024-10-06,1,0.0
simulation,13,シミュレーション,強化学習,4,2024-10-06,1,0.0
more,13,より多くの,強化学習,4,2024-10-06,1,0.0
find,13,見つける,強化学習,4,2024-10-06,1,0.0
socially,12,社会的に,強化学習,4,2024-10-06,1,0.0
strategy,12,戦略,強化学習,4,2024-10-06,1,0.0
average,12,平均,強化学習,4,2024-10-06,1,0.0
then,12,その場合,強化学習,3,2024-10-06,1,0.0
make,11,作る,強化学習,3,2024-10-06,1,0.0
have,11,「持つ」,強化学習,3,2024-10-06,1,0.0
option,11,選択肢,強化学習,3,2024-10-06,1,0.0
agent,11,エージェント,強化学習,3,2024-10-06,1,0.0
line,10,線,強化学習,3,2024-10-06,1,0.0
generalization,10,一般化,強化学習,3,2024-10-06,1,0.0
less,10,少ない,強化学習,3,2024-10-06,1,0.0
salt,10,塩,強化学習,3,2024-10-06,1,0.0
good,10,良い,強化学習,3,2024-10-06,1,0.0
experiment,10,実験,強化学習,3,2024-10-06,1,0.0
environment,10,環境,強化学習,3,2024-10-06,1,0.0
tion,9,「強化」,強化学習,3,2024-10-06,1,0.0
study,9,学習,強化学習,3,2024-10-06,1,0.0
process,9,プロセス,強化学習,3,2024-10-06,1,0.0
datum,9,データポイント,強化学習,3,2024-10-06,1,0.0
fig,9,フィグ,強化学習,3,2024-10-06,1,0.0
observation,9,観察,強化学習,3,2024-10-06,1,0.0
only,8,唯一の,強化学習,3,2024-10-06,1,0.0
first,8,最初,強化学習,3,2024-10-06,1,0.0
correlation,8,相関,強化学習,3,2024-10-06,1,0.0
expect,8,期待する,強化学習,3,2024-10-06,1,0.0
prediction,8,予測,強化学習,3,2024-10-06,1,0.0
science,7,科学,強化学習,3,2024-10-06,1,0.0
imitation,7,模倣,強化学習,3,2024-10-06,1,0.0
thus,7,したがって,強化学習,3,2024-10-06,1,0.0
generation,7,世代,強化学習,3,2024-10-06,1,0.0
ucb,7,UCBの意味は「上限信頼バウンド」です。,強化学習,3,2024-10-06,1,0.0
correspond,7,対応する,強化学習,3,2024-10-06,1,0.0
exact,6,正確な,強化学習,3,2024-10-06,1,0.0
simple,6,単純な,強化学習,3,2024-10-06,1,0.0
most,6,最も,強化学習,3,2024-10-06,1,0.0
far,6,遠い,強化学習,3,2024-10-06,1,0.0
outcome,6,結果,強化学習,3,2024-10-06,1,0.0
fit,6,適合,強化学習,3,2024-10-06,1,0.0
set,6,セット,強化学習,3,2024-10-06,1,0.0
generate,6,生成する,強化学習,3,2024-10-06,1,0.0
start,6,開始,強化学習,3,2024-10-06,1,0.0
spatial,6,空間的,強化学習,3,2024-10-06,1,0.0
uncertainty,6,不確実性,強化学習,3,2024-10-06,1,0.0
probability,6,確率,強化学習,3,2024-10-06,1,0.0
observe,6,観察する,強化学習,3,2024-10-06,1,0.0
estimate,6,推定,強化学習,3,2024-10-06,1,0.0
however,5,しかし,強化学習,3,2024-10-06,1,0.0
ing,5,強化学習における「ing」の意味は「学習中」です。,強化学習,3,2024-10-06,1,0.0
matter,5,事象,強化学習,3,2024-10-06,1,0.0
computational,5,計算的,強化学習,3,2024-10-06,1,0.0
limit,5,制限,強化学習,3,2024-10-06,1,0.0
relate,5,関連する,強化学習,3,2024-10-06,1,0.0
gaussian,5,ガウス分布,強化学習,3,2024-10-06,1,0.0
own,5,所有する,強化学習,3,2024-10-06,1,0.0
well,5,wellの意味：うまく,強化学習,0,2024-10-06,1,0.0
candidate,5,候補者,強化学習,3,2024-10-06,1,0.0
possible,5,可能な,強化学習,3,2024-10-06,1,0.0
spatially,5,空間的に,強化学習,3,2024-10-06,1,0.0
ward,5,「ward」の意味は「区」です。,強化学習,3,2024-10-06,1,0.0
variance,5,分散,強化学習,3,2024-10-06,1,0.0
covariance,5,共分散,強化学習,3,2024-10-06,1,0.0
trial,5,試行,強化学習,3,2024-10-06,1,0.0
round,5,ラウンド,強化学習,3,2024-10-06,1,0.0
incorporate,5,統合する,強化学習,3,2024-10-06,1,0.0
shape,5,形状,強化学習,3,2024-10-06,1,0.0
social information,43,社会的情報,強化学習,5,2024-10-06,1,0.0
social learn,17,社会的学習,強化学習,4,2024-10-06,1,0.0
evolutionary simulation,9,進化シミュレーション,強化学習,4,2024-10-06,1,0.0
previous reward,7,以前の報酬,強化学習,3,2024-10-06,1,0.0
good model,6,良いモデル,強化学習,3,2024-10-06,1,0.0
model learn,6,強化学習モデル,強化学習,3,2024-10-06,1,0.0
function value,6,関数値,強化学習,3,2024-10-06,1,0.0
exact imitation,5,正確な模倣,強化学習,3,2024-10-06,1,0.0
individual information,5,個別情報,強化学習,3,2024-10-06,1,0.0
other participant,5,他の参加者,強化学習,3,2024-10-06,1,0.0
shape value,4,形状価値,強化学習,4,2024-10-06,0,0.0
horizon search,3,地平線探索,強化学習,3,2024-10-06,0,0.0
bandit relate,2,バンディット関連,強化学習,3,2024-10-06,0,0.0
environment reward,2,環境報酬,強化学習,3,2024-10-06,0,0.0
consent inform,2,同意通知,強化学習,3,2024-10-06,0,0.0
process gaussian,2,ガウス過程,強化学習,3,2024-10-06,0,0.0
payment bonus,2,報酬,強化学習,3,2024-10-06,0,0.0
bind confidence,2,信頼を結びつける,強化学習,3,2024-10-06,0,0.0
