Word,Meaning,Pronounce,Example Sentence,Translated Sentence,Search Count,Category,Importance,Add Date,Done,Learning Point
employee,従業員,ɪmˈplɔɪiː,彼はその会社で10年間従業員として働いています。,He has been working as an employee at that company for 10 years.,8.0,その他,1,2024-09-30,0.0,6.0
expert,専門家、熟練者,ˈɛkˌspɜrt,彼はコンピュータの専門家です。,He is an expert in computers.,7.0,その他,1,2024-09-30,0.0,4.0
improvement,改善,ɪmˈpruːvmənt,彼の英語のスキルは最近のトレーニングのおかげで大幅に改善した。,His English skills have improved significantly thanks to recent training.,1.0,その他,1,2024-09-30,0.0,1.0
pollution,汚染,pəˈluːʃən,この川は産業廃棄物による汚染で、魚が生存できなくなっている。,"The river is polluted by industrial waste, making it impossible for fish to survive.",6.0,その他,1,2024-10-05,0.0,4.0
project,計画、プロジェクト,ˈprɒdʒekt,彼らは新しいプロジェクトを開始した。,They started a new project.,8.0,その他,1,2024-09-30,0.0,7.0
additional,追加の,əˈdɪʃənl,追加の情報を提供してください。,Please provide additional information.,6.0,その他,1,2024-09-30,1.0,3.0
ancient,古代の、古い,ˈeɪnʃənt,この博物館には古代のエジプトの美術品が展示されています。,This museum exhibits ancient Egyptian artifacts.,3.0,その他,1,2024-09-30,1.0,2.0
effective,効果的な,ɪˈfɛktɪv,その広告キャンペーンは非常に効果的だった。,The advertising campaign was very effective.,5.0,その他,1,2024-09-30,1.0,4.0
harmful,有害な,ˈhɑːrmfl,有害な化学物質は健康に悪影響を与える可能性があります。,Harmful chemicals may have a negative impact on health.,4.0,その他,1,2024-09-30,2.0,4.0
industrial,工業の,ɪnˈdʌstriəl,この地域は工業地帯として知られています。,This area is known as an industrial zone.,3.0,その他,1,2024-10-01,0.0,3.0
likely,ありそうな、起こりそうな,ˈlaɪkli,彼女は明日試験を受ける可能性が高い。,She is likely to take the exam tomorrow.,2.0,その他,1,2024-10-01,0.0,2.0
mental,精神的な、心の,ˈmɛntl,彼は精神的な問題を抱えている。,He has mental issues.,1.0,その他,1,2024-10-01,0.0,1.0
well,よく、上手に,wel,彼はとてもよく勉強しています。,He studies very well.,17.0,その他,1,2024-10-01,0.0,10.0
immediately,すぐに、直ちに,ɪˈmiːdiətli,彼は私が呼んだ途端に、すぐに駆けつけてきた。,He came to me immediately when I called.,1.0,その他,1,2024-10-01,0.0,1.0
frequently,しばしば、頻繁に,ˈfriːkwəntli,彼は週末にはよく友達と遊びに行きます。,He frequently goes out with friends on weekends.,1.0,その他,1,2024-10-01,0.0,1.0
increasingly,ますます、だんだんと,ɪnˈkriːsɪŋli,彼女は仕事が忙しくなり、ますますストレスを感じるようになった。,She became increasingly stressed as her work became busier.,1.0,その他,1,2024-10-01,0.0,1.0
actually,実際に、実は,ˈæktʃuəli,彼女は外国に住んでいると言ったが、実際には日本に住んでいる。,"She said she lives abroad, but actually she lives in Japan.",2.0,その他,1,2024-10-01,0.0,2.0
however,しかしながら,haʊˈɛvər,しかし、彼はその提案を受け入れなかった。,"However, he did not accept the proposal.",7.0,その他,1,2024-10-01,0.0,3.0
therefore,それゆえに、したがって,ˈðɛːrfɔːr,彼は熱心に勉強した。それゆえに、試験に合格した。,"He studied hard. Therefore, he passed the exam.",2.0,その他,1,2024-10-01,0.0,2.0
agent,代理人、仲介者,ˈeɪdʒənt,彼は不動産エージェントとして働いています。,He works as a real estate agent.,3.0,強化学習,1,2024-10-01,0.0,3.0
environment,環境,ɪnˈvaɪrənmənt,この地域は自然環境が豊かです。,This area has a rich natural environment.,3.0,強化学習,1,2024-10-01,0.0,3.0
state,状態、州、国家,steɪt,彼は自分の考えをはっきり述べた。,He stated his opinion clearly.,3.0,強化学習,1,2024-10-05,1.0,3.0
action,行動、活動,ˈækʃən,彼はいつも行動力があります。,He always has a lot of action.,3.0,強化学習,1,2024-10-02,1.0,1.0
reward,報酬、褒美,rɪˈwɔːrd,彼は一生懸命働いたので、上司から報酬を受け取った。,He received a reward from his boss for working hard.,7.0,強化学習,1,2024-10-02,1.0,6.0
policy,政策,ˈpɑːləsi,政府は新しい教育政策を導入する予定です。,The government plans to introduce a new education policy.,8.0,強化学習,1,2024-10-02,2.0,8.0
value function,価値関数,ˈvæljuː ˈfʌŋkʃən,このプログラムは、価値関数を使用して最適な行動を選択します。,This program selects the optimal action using a value function.,7.0,強化学習,1,2024-10-06,0.0,4.0
q value,検索された単語の意味,kjuː ˈvæljuː,検索された単語の例文の和訳,検索された単語の例文,3.0,強化学習,1,2024-10-02,0.0,1.0
q-value,統計学や機械学習において、統計的検定の結果を評価するための値,kjuː ˈvæljuː,この研究では、q-valueが0.05未満の遺伝子が有意に関連していることが示された。,"In this study, genes with q-values less than 0.05 were shown to be significantly associated.",7.0,強化学習,1,2024-10-05,0.0,6.0
exploration,探検、探究,ˌɛkspləˈreɪʃən,宇宙探査は未知の世界を探検することを可能にします。,Space exploration enables us to explore unknown worlds.,2.0,強化学習,1,2024-10-02,0.0,2.0
exploitation,搾取、利用,ˌɛk.splɔɪˈteɪ.ʃən,労働者が低賃金で働かされることは搾取の一例だ。,The fact that workers are made to work for low wages is an example of exploitation.,1.0,強化学習,1,2024-10-02,0.0,1.0
discount factor,割引率、割引係数,ˈdɪskaʊnt ˈfæktər,現在価値を求める際に使用される割引率は、通常、財務モデル内の割引係数として表されます。,The discount factor used to determine present value is typically represented as the discount rate within a financial model.,2.0,強化学習,1,2024-10-05,0.0,1.0
training,訓練,ˈtreɪnɪŋ,彼は毎日ジムでトレーニングをしています。,He trains at the gym every day.,5.0,強化学習,1,2024-10-02,0.0,5.0
episode,エピソード、出来事、一連の出来事,ˈɛpɪˌsoʊd,彼女の人生の最も興味深いエピソードは、大学時代に起こったことです。,The most interesting episode of her life is what happened during her college days.,7.0,強化学習,1,2024-10-02,0.0,7.0
terminal state,終了状態,ˈtɜːrmɪnl steɪt,このプログラムは、特定の条件が満たされたときに終了状態になります。,This program reaches a terminal state when certain conditions are met.,7.0,強化学習,1,2024-10-02,0.0,3.0
algorithm,アルゴリズム,ˈælɡəˌrɪðəm,このアルゴリズムは非常に効率的です。,This algorithm is very efficient.,2.0,データ分析,1,2024-10-02,0.0,2.0
model,模範、手本,ˈmɑːdl,彼女は私たちのためのモデルとなる存在です。,She is a model for us.,6.0,データ分析,1,2024-10-02,0.0,6.0
dataset,データセット,ˈdeɪtəˌset,この研究では、大規模なデータセットを使用して分析を行った。,"In this study, analysis was conducted using a large dataset.",2.0,データ分析,1,2024-10-02,0.0,2.0
feature,特徴,ˈfiːtʃər,彼女の顔には美しい特徴がたくさんある。,She has many beautiful features on her face.,6.0,データ分析,1,2024-10-02,1.0,4.0
training set,訓練セット,ˈtreɪnɪŋ sɛt,機械学習アルゴリズムを訓練するために、データセットを訓練セットとテストセットに分割することが一般的です。,It is common to split the dataset into a training set and a test set to train machine learning algorithms.,2.0,データ分析,1,2024-10-03,1.0,2.0
validation set,検証用データセット,ˌvælɪˈdeɪʃən set,モデルの性能を評価するために、データセットをトレーニングセットと検証用データセットに分割します。,"To evaluate the performance of the model, the dataset is divided into a training set and a validation set.",5.0,データ分析,1,2024-10-03,1.0,5.0
test set,テスト用のデータセット,test set,この機械学習モデルは、テストセットでの精度が高いです。,This machine learning model performs well on the test set.,9.0,データ分析,1,2024-10-03,2.0,9.0
overfitting,過学習,ˌoʊvərˈfɪtɪŋ,モデルが訓練データに過剰に適合しすぎて、新しいデータに対する予測精度が低下する現象,"Overfitting occurs when a model fits the training data too well, resulting in a decrease in prediction accuracy for new data.",1.0,データ分析,1,2024-10-03,0.0,1.0
underfitting,過学習の反対の現象で、モデルが訓練データに対して十分に適合していない状態を指す,ˈʌndərˌfɪtɪŋ,モデルが訓練データに適合しすぎず、未知のデータに対して十分な予測精度を持たないことがunderfittingの問題です。,Underfitting is when a model does not fit well to the training data and lacks sufficient predictive accuracy for unknown data.,1.0,データ分析,1,2024-10-03,0.0,1.0
hyperparameter,モデル学習時に手動で設定されるパラメータ,ˈhaɪpərˌpærəˌmɪtər,ハイパーパラメータの適切な設定は、モデルの性能に大きな影響を与える。,The proper setting of hyperparameters has a significant impact on the performance of the model.,1.0,データ分析,1,2024-10-05,0.0,1.0
optimization,最適化,ˌɑːptɪmɪˈzeɪʃən,このプロジェクトの最適化には時間がかかるかもしれません。,Optimizing this project may take some time.,1.0,データ分析,1,2024-10-03,0.0,1.0
gradient descent,勾配降下法,ˈɡreɪdiənt dɪˈsent,機械学習のアルゴリズムでよく使われるgradient descentは、最適なパラメータを見つけるために勾配を利用する手法です。,"Gradient descent, commonly used in machine learning algorithms, is a method that utilizes gradients to find the optimal parameters.",1.0,データ分析,1,2024-10-03,0.0,1.0
batch,一括処理される一連のアイテムや作業,bætʃ,一度にたくさんの写真を処理するために、彼は写真のバッチを作成しました。,"To process a large number of photos at once, he created a batch of photos.",3.0,データ分析,1,2024-10-05,0.0,2.0
epoch,時代、時期,ˈiːpɑːk,彼の発明は新しい時代の幕開けだった。,His invention marked the beginning of a new epoch.,2.0,データ分析,1,2024-10-04,0.0,0.0
regularization,正規化,rɪˌɡjʊləraɪˈzeɪʃən,この機械学習モデルには正規化が必要です。,Regularization is needed for this machine learning model.,0.0,データ分析,1,2024-10-04,0.0,0.0
cross-validation,交差検証,ˈkrɔːs ˌvælɪˈdeɪʃən,モデルの性能を評価するために、交差検証を使用することが一般的です。,Cross-validation is commonly used to evaluate the performance of a model.,5.0,データ分析,1,2024-10-04,0.0,4.0
transfer learning,転移学習,ˈtrænsfər ˈlɜːrnɪŋ,他のタスクで学習した知識を新しいタスクに適用すること,Transfer learning is the process of applying knowledge learned from one task to a new task.,2.0,データ分析,1,2024-10-04,0.0,2.0
deep learning,深層学習,diːp ˈlɜːrnɪŋ,深層学習は機械学習の一種であり、複雑なパターンや階層的な構造を学習するために使用されます。,Deep learning is a type of machine learning used to learn complex patterns and hierarchical structures.,2.0,データ分析,1,2024-10-04,0.0,2.0
cognition,認知,kɒɡˈnɪʃən,彼の認知能力は非常に高い。,His cognitive abilities are very high.,9.0,認知科学,1,2024-10-04,0.0,6.0
perception,知覚、認識,pərˈsɛpʃən,彼の感覚は病気のために歪んでいる。,His perception is distorted due to illness.,6.0,認知科学,1,2024-10-04,1.0,2.0
memory,記憶,ˈmeməri,彼女は子供の頃の思い出を鮮明に覚えている。,She remembers her childhood memories vividly.,3.0,認知科学,1,2024-10-04,1.0,1.0
attention,注意、関心,əˈtɛnʃən,彼女は授業中に注意を集中させるのが難しい。,She finds it difficult to focus her attention during class.,3.0,認知科学,1,2024-10-06,1.0,2.0
learning,学習,ˈlɜːrnɪŋ,新しい言語を学ぶことは楽しいです。,Learning a new language is fun.,1.0,認知科学,1,2024-10-04,2.0,0.0
concept,概念,ˈkɑːnsept,彼は複雑な概念を簡単に説明できる。,He can explain complex concepts in a simple way.,2.0,認知科学,1,2024-10-05,0.0,2.0
reasoning,推論,ˈriːzənɪŋ,彼の論理的な推論は私たちを納得させた。,His logical reasoning convinced us.,2.0,認知科学,1,2024-10-04,0.0,2.0
intelligence,知能、知性,ɪnˈtel.ɪ.dʒəns,彼は非常に高い知能を持っており、難しい問題を解決するのが得意だ。,He has a very high level of intelligence and is good at solving difficult problems.,6.0,認知科学,1,2024-10-05,0.0,3.0
schema,枠組み、構造、計画,ˈskiːmə,彼は新しいプロジェクトのためのスキーマを作成した。,He created a schema for the new project.,8.0,認知科学,1,2024-10-05,0.0,6.0
heuristic,発見的な、発見に関する,hjuˈrɪstɪk,この問題を解決するために、ヒューリスティックな手法を使用しました。,I used a heuristic approach to solve this problem.,7.0,認知科学,1,2024-10-04,0.0,2.0
bias,偏見、先入観,ˈbaɪəs,彼は政治的なbiasを持っている。,He has a political bias.,2.0,認知科学,1,2024-10-04,0.0,1.0
motivation,動機付け、やる気,ˌmoʊtɪˈveɪʃən,彼は成功するための強い動機付けを持っている。,He has a strong motivation to succeed.,9.0,認知科学,1,2024-10-04,0.0,6.0
neuroscience,神経科学,ˌnjʊəˈroʊˌsaɪəns,神経科学は脳と神経系に関する研究分野です。,Neuroscience is the study of the brain and nervous system.,10.0,認知科学,1,2024-10-04,0.0,6.0
cognitive load,認知負荷,ˈkɒɡnɪtɪv loʊd,認知負荷が高いと、情報を処理する能力が低下します。,High cognitive load impairs the ability to process information.,8.0,認知科学,1,2024-10-04,0.0,3.0
dual-process theory,二重処理理論,ˈduːəl-ˈproʊsɛs ˈθɪəri,この理論は、人間の意思決定が自動的で反射的なプロセスと、計算的で理性的なプロセスの両方によって行われると主張しています。,"This theory posits that human decision-making is driven by both automatic and reflexive processes, as well as deliberative and rational processes.",3.0,認知科学,1,2024-10-04,0.0,1.0
metacognition,メタ認知（自己認識）,ˌmetəˈkɒɡnɪʃən,自分の学習方法を考えることも重要です。,It is also important to think about your own learning strategies.,5.0,認知科学,1,2024-10-04,0.0,4.0
social cognition,社会認知,ˈsoʊʃəl kɒɡˈnɪʃən,社会認知は他人の感情や意図を理解する能力を指します。,Social cognition refers to the ability to understand the emotions and intentions of others.,3.0,認知科学,1,2024-10-04,0.0,2.0
affordance,物体や環境が提供する、その利用方法や機能を示唆する特性,əˈfɔːrdəns,このドアノブは引くことを促すaffordanceを持っている。,This doorknob has an affordance that suggests pulling.,1.0,認知科学,1,2024-10-06,1.0,1.0
attention span,注意力の持続時間,əˈtɛnʃən spæn,彼の注意力の持続時間は非常に短い。,His attention span is very short.,2.0,認知科学,1,2024-10-04,1.0,1.0
cognitive dissonance,認知的不一致,kɒɡˈnɪtɪv dɪˈsɒnəns,彼は健康に悪影響を与える習慣を持っていることに気づき、認知的不一致を感じた。,He experienced cognitive dissonance when he realized he had unhealthy habits.,4.0,認知科学,1,2024-10-04,1.0,3.0
context,文脈、状況,ˈkɒntekst,この言葉を使う文脈を考えてください。,Please consider the context in which this word is used.,6.0,認知科学,1,2024-10-04,2.0,4.0
cat,猫,kæt,猫はかわいいです。,Cats are cute.,1.0,その他,1,2024-10-06,0.0,1.0
study,勉強,ˈstʌdi,彼は毎日勉強します。,He studies every day.,1.0,その他,1,2024-10-06,0.0,1.0
respect,尊敬する、敬意を表する,rɪˈspekt,彼は上司を尊敬している。,He respects his boss.,1.0,その他,0,2024-10-06,0.0,1.0
environmental,環境の,ɪnˌvaɪrənˈmentl,環境問題は私たち全員に影響を与えます。,Environmental issues affect all of us.,1.0,認知科学,0,2024-10-06,0.0,1.0
